Id,ActivateNow,Activated,ApplyProRating,BookingUniqueId,BusinessId,ContractDepositUniqueId,ContractProductUniqueId,CoworkerBillingName,CoworkerCompanyName,CoworkerContractUniqueId,CoworkerCoworkerType,CoworkerDeliveryUniqueId,CoworkerEmail,CoworkerFullName,CoworkerId,CoworkerInvoiceId,CoworkerInvoiceNumber,CoworkerInvoicePaid,CoworkerProductIndex,CreatedOn,CreditAmount,CustomFields,DiscountAmount,DueDate,FromTariff,InvoiceOn,InvoiceThisCoworker,Invoiced,InvoicedOn,IsNew,LocalizationDetails,Notes,OrderNumber,Price,ProductApplyProRating,ProductCurrencyCode,ProductFinancialAccountId,ProductId,ProductName,ProductPrice,PurchaseOrder,Quantity,RecurringTotal,Refundable,RegularCharge,RepeatCycle,RepeatFrom,RepeatUnit,RepeatUntil,SaleDate,SystemId,TeamsAtTheTimeOfPurchase,ToStringText,TotalPrice,UniqueId,UnitPrice,UpdatedBy,UpdatedOn
1428645096,False,False,False,,1421022733,,,,,,Individual,,test-002@seeddata.local,Ashley Smith,1423747607,,,False,11,2026-08-24T16:42:32.2627571Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,Acme Corp,#1428645096,75.0,b812e041-dd66-438c-b637-dcc4fd1cbcf5,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:32.2940093Z
1428645097,False,False,False,,1421022733,,,,,,Individual,,test-011@seeddata.local,Samantha Quinn,1423749935,,,False,12,2026-08-24T16:42:33.0935312Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,Echo Digital,#1428645097,30.0,6c5f8f91-5bf8-402d-94a9-a2b7824c7e85,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:33.1091344Z
1428645098,False,False,False,,1421022733,,,,,,Individual,,test-014@seeddata.local,Tracy Harrison,1423749937,,,False,13,2026-08-24T16:42:33.8598158Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,Acme Corp,#1428645098,75.0,6a67f597-a9ce-45ba-9d70-bfbc11aa5104,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:33.9119522Z
1428645099,False,False,False,,1421022733,,,,,,Individual,,test-016@seeddata.local,Robin Andrews,1423747913,,,False,14,2026-08-24T16:42:34.6298091Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,Acme Corp,#1428645099,30.0,4bd37b8f-a8da-4058-835c-198176c1f71d,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:34.6610835Z
1428645100,False,False,False,,1421022733,,,,,,Individual,,test-023@seeddata.local,Billy Norton,1423750039,,,False,15,2026-08-24T16:42:35.4430254Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,Delta Ventures,#1428645100,30.0,4bd5d78b-ca22-4368-9dd7-21555da08ce2,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:35.4899208Z
1428645505,False,False,False,,1421022733,,,,,,Individual,,test-050@seeddata.local,Chelsea Powell,1423750056,,,False,16,2026-08-24T16:42:36.2875168Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475411,Mail Handling,20.0,,1,0.0,False,False,4,,,,,,,#1428645505,20.0,6ce1ef04-a39c-4a73-9c05-b9a2814c18c3,20.0,Olena+e2@nexudus.com,2026-08-24T16:42:36.2875168Z
1428645506,False,False,False,,1421022733,,,,,,Individual,,test-030@seeddata.local,Jessica White,1423750044,,,False,17,2026-08-24T16:42:37.0703644Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475411,Mail Handling,20.0,,1,0.0,False,False,4,,,,,,Echo Digital,#1428645506,20.0,527f7d81-fe73-4006-a688-83b96662784b,20.0,Olena+e2@nexudus.com,2026-08-24T16:42:37.0859946Z
1428645507,False,False,False,,1421022733,,,,,,Individual,,test-046@seeddata.local,Charles Kelly,1423750052,,,False,18,2026-08-24T16:42:37.8687333Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,,#1428645507,75.0,ac00a9a4-d4a6-469b-b830-df0603a6372a,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:37.8687333Z
1428645508,False,False,False,,1421022733,,,,,,Individual,,test-044@seeddata.local,Bethany Johnston,1423750050,,,False,19,2026-08-24T16:42:38.649965Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475411,Mail Handling,20.0,,1,0.0,False,False,4,,,,,,,#1428645508,20.0,c1130f14-810f-4795-80b5-45f214ec9b33,20.0,Olena+e2@nexudus.com,2026-08-24T16:42:38.649965Z
1428645509,False,False,False,,1421022733,,,,,,Individual,,test-034@seeddata.local,Bruce Cross,1423749945,,,False,20,2026-08-24T16:42:39.4156151Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475411,Mail Handling,20.0,,1,0.0,False,False,4,,,,,,,#1428645509,20.0,1db25bc8-4875-447f-9548-d82118724499,20.0,Olena+e2@nexudus.com,2026-08-24T16:42:39.4156151Z
